sample_idx,atom_idx,element,mace_H,mace_OH,mace_CH3,mace_NH2,mace_H_norm,mace_OH_norm,mace_CH3_norm,mace_NH2_norm
29,8,Cu,-2.8572083,-9.524017,-19.602066,-15.253403,0.97642905,0.14991674,0.6619396,0.51466215
29,2,Cu,-2.8572235,-9.524124,-19.621902,-15.260605,0.9763948,0.14984478,0.6106261,0.50670385
29,1,Pd,-3.0805664,-8.761673,-19.48233,-14.834869,0.4750701,0.6635124,0.97167605,0.977136
30,4,Cu,-2.9237366,-9.618774,-19.643295,-15.317169,0.8270968,0.08607836,0.55528647,0.44420102
30,3,Cu,-2.8602142,-9.529083,-19.61795,-15.242035,0.9696817,0.1465038,0.6208494,0.5272234
30,2,Cu,-2.8602295,-9.529083,-19.622635,-15.262924,0.9696474,0.1465038,0.60873145,0.50414103
31,1,Pd,-3.085022,-8.751617,-19.494934,-14.835098,0.46506894,0.67028683,0.9390722,0.9768831
32,3,Cu,-2.8552399,-9.5225525,-19.627396,-15.220093,0.98084736,0.15090361,0.59641623,0.5514692
33,4,Cu,-2.921814,-9.618546,-19.654648,-15.31926,0.8314124,0.086232565,0.5259193,0.4418911
34,3,Cu,-3.0748138,-9.669159,-19.801971,-15.388382,0.4879825,0.05213403,0.14481765,0.36551183
34,1,Cu,-3.075119,-9.667709,-19.799149,-15.38913,0.4872975,0.053110622,0.15211995,0.36468565
35,3,Cu,-3.0747528,-9.669022,-19.802109,-15.388626,0.4881195,0.052226547,0.14446239,0.36524206
35,1,Cu,-3.0751038,-9.667648,-19.79927,-15.389343,0.48733175,0.05315174,0.15180418,0.36444962
36,3,Cu,-3.0748138,-9.66893,-19.802094,-15.388687,0.4879825,0.052288227,0.14450186,0.36517462
36,1,Cu,-3.0750885,-9.667709,-19.799332,-15.389557,0.48736602,0.053110622,0.15164629,0.36421356
37,3,Cu,-3.073578,-9.664108,-19.80069,-15.398621,0.4907568,0.055536687,0.1481333,0.35419828
37,2,Cu,-3.073578,-9.664108,-19.80101,-15.391754,0.4907568,0.055536687,0.14730437,0.36178562
37,4,Cu,-3.0736237,-9.664139,-19.803375,-15.389679,0.49065405,0.055516127,0.14118622,0.36407867
38,1,Cu,-3.07547,-9.660141,-19.80246,-15.387772,0.48650974,0.058209468,0.14355454,0.36618626
38,3,Cu,-3.0753174,-9.665817,-19.808487,-15.38768,0.48685226,0.054385334,0.12796313,0.36628744
38,2,Cu,-3.0753174,-9.665817,-19.810638,-15.4023285,0.48685226,0.054385334,0.12239758,0.3501011
39,1,Cu,-3.0756836,-9.670929,-19.794998,-15.394775,0.48603025,0.050941557,0.16285633,0.35844716
40,4,Hf,-3.2882996,-11.750946,-20.199768,-17.01944,0.00878365,-1.3503776,-0.88421607,-1.4367857
40,2,Hf,-3.28833,-11.751007,-20.192719,-17.019135,0.008715149,-1.3504187,-0.86598,-1.4364485
40,3,Hf,-3.2882996,-11.750885,-20.1893,-17.022736,0.00878365,-1.3503364,-0.8571383,-1.4404277
41,1,Hf,-3.2910767,-11.749847,-20.154755,-17.00885,0.0025500574,-1.3496374,-0.7677738,-1.4250844
41,2,Hf,-3.2903137,-11.747345,-20.203949,-17.031006,0.004262583,-1.3479515,-0.8950314,-1.4495661
41,3,Hf,-3.2903137,-11.747345,-20.187805,-17.026001,0.004262583,-1.3479515,-0.85327005,-1.4440359
42,1,Hf,-3.3073425,-11.801727,-20.212128,-17.042511,-0.033960987,-1.3845892,-0.91618836,-1.4622792
43,1,Hf,-3.5177917,-11.980255,-19.904541,-16.991241,-0.506344,-1.5048643,-0.12051279,-1.405627
43,8,Sc,-3.2915955,-12.330475,-20.006897,-16.979797,0.0013855401,-1.7408093,-0.38529062,-1.3929814
43,2,Sc,-3.291626,-12.330414,-20.044037,-16.97229,0.0013170391,-1.7407682,-0.48136535,-1.384686
44,4,Sc,-3.3361206,-12.388336,-20.03981,-17.0009,-0.09855744,-1.7797909,-0.47043163,-1.4162998
44,3,Sc,-3.303833,-12.342743,-19.994293,-17.007965,-0.026083369,-1.7490745,-0.3526868,-1.4241064
44,2,Sc,-3.303833,-12.342758,-20.024643,-16.97905,-0.026083369,-1.7490847,-0.4311965,-1.3921553
45,1,Hf,-3.537796,-12.101593,-19.96576,-17.033936,-0.5512464,-1.5866104,-0.27887425,-1.4528034
46,3,Sc,-3.3041382,-12.316956,-20.008041,-16.990784,-0.026768379,-1.7317014,-0.388251,-1.4051212
47,4,Sc,-3.3394165,-12.367264,-19.999573,-17.002472,-0.105955556,-1.7655942,-0.3663441,-1.4180366
48,3,Ir,-3.465454,-9.262817,-20.37503,-16.021973,-0.38886476,0.3258886,-1.3375908,-0.33459762
48,1,Ir,-3.4654236,-9.263153,-20.394806,-16.047363,-0.38879627,0.32566243,-1.3887465,-0.36265394
49,4,Ir,-3.4460144,-9.220337,-20.352142,-15.993134,-0.3452296,0.35450792,-1.2783829,-0.3027308
49,2,Ir,-3.446106,-9.2204895,-20.369263,-16.018127,-0.3454351,0.35440513,-1.3226705,-0.3303487
49,3,Ir,-3.446106,-9.220459,-20.372131,-16.00116,-0.3454351,0.3544257,-1.3300912,-0.31159955
50,1,Ir,-3.4539185,-9.236908,-20.385437,-16.028625,-0.36297137,0.3433439,-1.3645108,-0.34194893
50,2,Ir,-3.4526062,-9.234711,-20.360748,-16.010864,-0.36002582,0.34482422,-1.3006451,-0.322323
50,3,Ir,-3.4525757,-9.234711,-20.368683,-16.003265,-0.35995734,0.34482422,-1.3211706,-0.31392634
51,1,Ir,-3.5073242,-9.347687,-20.431091,-16.098999,-0.48284817,0.26871163,-1.4826108,-0.41971076
52,3,Ni,-3.0193787,-7.502121,-19.841644,-15.329819,0.6124146,1.5120796,0.042190578,0.43022344
52,1,Ni,-3.019394,-7.5021973,-19.840057,-15.327774,0.6123804,1.5120282,0.04629566,0.43248278
53,4,Ni,-3.0189514,-7.504074,-19.840958,-15.330612,0.61337364,1.5107638,0.043966815,0.42934668
53,2,Ni,-3.0190125,-7.5036774,-19.84111,-15.328125,0.6132366,1.511031,0.043572098,0.432095
