sample_idx,mace_H,mace_OH,mace_CH3,mace_NH2,mace_H_norm,mace_OH_norm,mace_CH3_norm,mace_NH2_norm
0,-2.35382080078125,-8.151039123535156,-16.560977935791016,-13.329757690429688,1.4614721753156072,0.660205926133796,0.5476056021613246,1.104854755933991
1,-2.354156494140625,-8.152461051940918,-16.561296463012695,-13.330528259277344,1.4608127545853136,0.6593935483110084,0.5473757751385085,1.1043228513883507
2,-2.35357928276062,-8.150932312011719,-16.560861587524414,-13.329231262207031,1.461946602304093,0.6602669498200148,0.5476895509540898,1.105218136267151
3,-2.3418197631835938,-8.152275085449219,-16.529212951660156,-13.311775207519531,1.4850464664236132,0.6594997949075501,0.5705249987959279,1.1172676174594733
4,-2.4161376953125,-8.17449951171875,-16.53594970703125,-13.418060302734375,1.339059708837418,0.6468025093393124,0.565664226073854,1.0439016548326192
5,-3.499298095703125,-12.497589111328125,-17.81109619140625,-16.5438232421875,-0.7886511984644272,-1.823070166679888,-0.35439252327670684,-1.1137349030757933
6,-2.611968994140625,-7.7703399658203125,-16.27899932861328,-13.304161071777344,0.9543776337196219,0.877707420321744,0.7510616943713934,1.1225234663361943
7,-2.593533754348755,-7.7605719566345215,-16.26567840576172,-13.293800354003906,0.9905909782711225,0.8832880909118862,0.7606731430381443,1.1296752126033156
8,-2.5923919677734375,-7.758964538574219,-16.263742446899414,-13.292057991027832,0.9928338517635781,0.8842064429040448,0.7620699959013677,1.130877922510351
9,-2.6005172729492188,-7.775184631347656,-16.281959533691406,-13.304367065429688,0.9768728727235105,0.8749395602682489,0.7489258168898931,1.1223812740319143
10,-2.678955078125,-8.238861083984375,-16.5645751953125,-14.22076416015625,0.8227932243564362,0.610031379557763,0.5450100706341923,0.48981510972483333
11,-3.30902099609375,-12.288726806640625,-17.802093505859375,-16.33624267578125,-0.4148795390660386,-1.7037427071137792,-0.3478968134102887,-0.970447191414646
12,-2.869908571243286,-7.79712438583374,-17.137475967407227,-14.01587963104248,0.44769288838713595,0.8624049137208711,0.1316448388488779,0.6312418137739454
13,-2.957789182662964,-8.009674072265625,-17.5257511138916,-14.277496337890625,0.2750642219490254,0.7409707748443611,-0.14850742091531857,0.45065429584978584
14,-2.70281982421875,-7.34539794921875,-16.375381469726562,-13.527435302734375,0.7759144051664539,1.1204857971084596,0.6815190649286303,0.9684028076415648
15,-2.94647216796875,-8.012985229492188,-17.507537841796875,-14.259109497070312,0.2972948496513401,0.7390790405715787,-0.135365994323279,0.4633462756021883
16,-2.9906768798828125,-8.004364013671875,-17.550430297851562,-14.309661865234375,0.21046112893946106,0.7440045238163808,-0.16631419844955253,0.4284512308555416
17,-2.4723968505859375,-7.425285339355469,-16.01861572265625,-13.053459167480469,1.2285467891740776,1.0748444386515366,0.9389363401603634,1.2955767670266274
18,-2.448450803756714,-7.41052770614624,-15.993611335754395,-13.042546272277832,1.2755853118221778,1.0832757871550422,0.9569777614514245,1.3031096676649438
19,-2.453831911087036,-7.412755489349365,-15.999679565429688,-13.043167114257812,1.265014909916828,1.0820030074139075,0.9525993502353208,1.3026811158589888
